model_type,n_layers,units,dropout,recurrent_dropout,activation,kernel_regularizer,bidirectional,optimizer,lr,batch_size,epochs,window_size,patience,fold,rmse,mae
gru,1,128,0.1,0.2,relu,0.0,True,adam,0.0005,32,100,12,10,1,0.9025125833701896,0.7367139512300489
gru,1,128,0.1,0.2,relu,0.0,True,adam,0.0005,32,100,12,10,2,1.2165785655867898,0.9347121808856728
gru,1,128,0.1,0.2,relu,0.0,True,adam,0.0005,32,100,12,10,3,1.1220415995043556,0.9617796443035204
gru,1,128,0.1,0.2,relu,0.0,True,adam,0.0005,32,100,12,10,4,3.280792092384445,3.093356411242484
gru,1,128,0.1,0.2,relu,0.0,True,adam,0.0005,32,100,12,10,5,8.71544773455798,5.303277372066179
gru,2,64,0.1,0.1,tanh,0.0001,True,rmsprop,0.001,64,50,8,5,1,2.2471822592564137,1.808572746957265
gru,2,64,0.1,0.1,tanh,0.0001,True,rmsprop,0.001,64,50,8,5,2,2.5048425898966635,2.196889061766405
gru,2,64,0.1,0.1,tanh,0.0001,True,rmsprop,0.001,64,50,8,5,3,2.2825783415148706,1.9472105768093704
gru,2,64,0.1,0.1,tanh,0.0001,True,rmsprop,0.001,64,50,8,5,4,1.1415451228517166,1.018294445707248
gru,2,64,0.1,0.1,tanh,0.0001,True,rmsprop,0.001,64,50,8,5,5,8.517378963079299,5.677396328060443
lstm,1,32,0.2,0.1,tanh,0.0001,True,adam,0.001,16,200,12,5,1,1.6595482061719475,1.487264672224223
lstm,1,32,0.2,0.1,tanh,0.0001,True,adam,0.001,16,200,12,5,2,5.0677245165745886,4.639262009954453
lstm,1,32,0.2,0.1,tanh,0.0001,True,adam,0.001,16,200,12,5,3,3.1863116263401454,2.97247288573583
lstm,1,32,0.2,0.1,tanh,0.0001,True,adam,0.001,16,200,12,5,4,4.199174813949134,3.7344466342628
lstm,1,32,0.2,0.1,tanh,0.0001,True,adam,0.001,16,200,12,5,5,9.04255725252872,5.3034083540598544
lstm,1,128,0.3,0.0,tanh,0.0001,True,sgd,0.0001,16,50,8,10,1,21.751097764182784,21.749019595806416
lstm,1,128,0.3,0.0,tanh,0.0001,True,sgd,0.0001,16,50,8,10,2,20.865102407396577,20.82752104046161
lstm,1,128,0.3,0.0,tanh,0.0001,True,sgd,0.0001,16,50,8,10,3,20.867350448595065,20.785910381141075
lstm,1,128,0.3,0.0,tanh,0.0001,True,sgd,0.0001,16,50,8,10,4,19.853229569725784,19.80699306335449
lstm,1,128,0.3,0.0,tanh,0.0001,True,sgd,0.0001,16,50,8,10,5,20.158061416193565,18.856010832096977
rnn,2,32,0.1,0.1,relu,0.001,True,adam,0.001,16,100,12,5,1,3.016353316948409,2.535279005831479
rnn,2,32,0.1,0.1,relu,0.001,True,adam,0.001,16,100,12,5,2,4.47709400843223,3.480529664248724
rnn,2,32,0.1,0.1,relu,0.001,True,adam,0.001,16,100,12,5,3,3.748702978993676,2.7838653856183098
rnn,2,32,0.1,0.1,relu,0.001,True,adam,0.001,16,100,12,5,4,3.675060045456477,3.074643245861928
rnn,2,32,0.1,0.1,relu,0.001,True,adam,0.001,16,100,12,5,5,8.388716290671674,4.559979546890656
lstm,2,64,0.0,0.0,relu,0.0001,True,adam,0.0005,32,50,12,20,1,1.4982505332575948,1.3406496838897464
lstm,2,64,0.0,0.0,relu,0.0001,True,adam,0.0005,32,50,12,20,2,3.497372074590022,2.949073688979944
lstm,2,64,0.0,0.0,relu,0.0001,True,adam,0.0005,32,50,12,20,3,1.4470039228452287,1.2168665172954405
lstm,2,64,0.0,0.0,relu,0.0001,True,adam,0.0005,32,50,12,20,4,2.7029822469798783,2.56429029251337
lstm,2,64,0.0,0.0,relu,0.0001,True,adam,0.0005,32,50,12,20,5,8.800061386074047,5.749761078500747
rnn,1,16,0.1,0.2,relu,0.001,False,adam,0.001,16,100,8,10,1,8.25028499238334,8.11010739487868
rnn,1,16,0.1,0.2,relu,0.001,False,adam,0.001,16,100,8,10,2,4.147555536939606,3.590720709243187
rnn,1,16,0.1,0.2,relu,0.001,False,adam,0.001,16,100,8,10,3,1.6027779098652557,1.335766187231358
rnn,1,16,0.1,0.2,relu,0.001,False,adam,0.001,16,100,8,10,4,4.1762894062796,3.989990354259198
rnn,1,16,0.1,0.2,relu,0.001,False,adam,0.001,16,100,8,10,5,8.083571280469329,4.604803797602653
gru,1,128,0.2,0.0,tanh,0.0001,False,rmsprop,0.0005,64,200,12,5,1,1.1231523740191836,0.9277960743576285
gru,1,128,0.2,0.0,tanh,0.0001,False,rmsprop,0.0005,64,200,12,5,2,1.1637525566711628,1.008457289470282
gru,1,128,0.2,0.0,tanh,0.0001,False,rmsprop,0.0005,64,200,12,5,3,1.7614300985559102,1.5059738476951916
gru,1,128,0.2,0.0,tanh,0.0001,False,rmsprop,0.0005,64,200,12,5,4,1.5604966997528265,1.454678754895429
gru,1,128,0.2,0.0,tanh,0.0001,False,rmsprop,0.0005,64,200,12,5,5,8.841235582020811,5.562762182986735
rnn,1,64,0.1,0.1,relu,0.0,True,adam,0.0001,64,50,12,10,1,19.220482782290325,19.21057757822672
rnn,1,64,0.1,0.1,relu,0.0,True,adam,0.0001,64,50,12,10,2,11.772358215447772,11.589875100453696
rnn,1,64,0.1,0.1,relu,0.0,True,adam,0.0001,64,50,12,10,3,15.915007347798175,14.909605098152158
rnn,1,64,0.1,0.1,relu,0.0,True,adam,0.0001,64,50,12,10,4,12.145950108958443,11.608468204689029
rnn,1,64,0.1,0.1,relu,0.0,True,adam,0.0001,64,50,12,10,5,18.45211505173503,17.15957955640157
rnn,2,128,0.3,0.0,tanh,0.001,True,rmsprop,0.0005,64,50,8,20,1,1.619287461132717,1.2667049460557789
rnn,2,128,0.3,0.0,tanh,0.001,True,rmsprop,0.0005,64,50,8,20,2,5.891622003616586,4.7434557651739855
rnn,2,128,0.3,0.0,tanh,0.001,True,rmsprop,0.0005,64,50,8,20,3,4.947498365713857,4.056215111262983
rnn,2,128,0.3,0.0,tanh,0.001,True,rmsprop,0.0005,64,50,8,20,4,2.543782955624452,1.9603889977088345
rnn,2,128,0.3,0.0,tanh,0.001,True,rmsprop,0.0005,64,50,8,20,5,8.563813647314706,5.140641133809433
gru,1,16,0.0,0.0,tanh,0.001,True,adam,0.0001,64,50,12,10,1,21.77121581884309,21.667549382527667
gru,1,16,0.0,0.0,tanh,0.001,True,adam,0.0001,64,50,12,10,2,12.256129796984055,12.078735071818036
gru,1,16,0.0,0.0,tanh,0.001,True,adam,0.0001,64,50,12,10,3,16.328446263556316,16.281520239893595
gru,1,16,0.0,0.0,tanh,0.001,True,adam,0.0001,64,50,12,10,4,11.011520052518854,9.151444155136744
gru,1,16,0.0,0.0,tanh,0.001,True,adam,0.0001,64,50,12,10,5,20.555640695595,19.15838062884013
gru,1,64,0.3,0.0,relu,0.001,False,rmsprop,0.0001,16,100,8,5,1,18.71302830478892,18.710533408531777
gru,1,64,0.3,0.0,relu,0.001,False,rmsprop,0.0001,16,100,8,5,2,14.06098053880859,14.006078583115796
gru,1,64,0.3,0.0,relu,0.001,False,rmsprop,0.0001,16,100,8,5,3,5.582559183647685,4.576846667773906
gru,1,64,0.3,0.0,relu,0.001,False,rmsprop,0.0001,16,100,8,5,4,1.1218590808366795,1.0181939069541603
gru,1,64,0.3,0.0,relu,0.001,False,rmsprop,0.0001,16,100,8,5,5,8.167153160239721,5.403549561363916
rnn,2,128,0.2,0.1,relu,0.001,False,sgd,0.001,64,100,8,20,1,11.830680571468047,11.812670607346751
rnn,2,128,0.2,0.1,relu,0.001,False,sgd,0.001,64,100,8,20,2,10.015386695050177,9.84119287878183
rnn,2,128,0.2,0.1,relu,0.001,False,sgd,0.001,64,100,8,20,3,10.743927394535282,10.425087813568116
rnn,2,128,0.2,0.1,relu,0.001,False,sgd,0.001,64,100,8,20,4,11.667129866985796,11.635856133915826
rnn,2,128,0.2,0.1,relu,0.001,False,sgd,0.001,64,100,8,20,5,9.875183567259109,6.677732292659465
lstm,2,32,0.0,0.0,relu,0.001,False,adam,0.0001,16,200,8,20,1,14.125079406400715,14.105577661954438
lstm,2,32,0.0,0.0,relu,0.001,False,adam,0.0001,16,200,8,20,2,5.126400877444503,4.746602240547768
lstm,2,32,0.0,0.0,relu,0.001,False,adam,0.0001,16,200,8,20,3,1.354158200519191,1.2422809656253229
lstm,2,32,0.0,0.0,relu,0.001,False,adam,0.0001,16,200,8,20,4,1.883662434755022,1.7345905297808923
lstm,2,32,0.0,0.0,relu,0.001,False,adam,0.0001,16,200,8,20,5,8.625618169096485,4.808683420413274
gru,1,128,0.0,0.2,relu,0.001,False,rmsprop,0.0001,16,100,12,5,1,14.715949734485957,14.698566924413043
gru,1,128,0.0,0.2,relu,0.001,False,rmsprop,0.0001,16,100,12,5,2,1.5654148251353874,1.23630738178889
gru,1,128,0.0,0.2,relu,0.001,False,rmsprop,0.0001,16,100,12,5,3,0.877498725300246,0.7260255062544099
gru,1,128,0.0,0.2,relu,0.001,False,rmsprop,0.0001,16,100,12,5,4,2.295355632644132,2.2261678178628284
gru,1,128,0.0,0.2,relu,0.001,False,rmsprop,0.0001,16,100,12,5,5,9.257759151912536,5.336920248504479
rnn,2,32,0.2,0.1,tanh,0.0001,True,adam,0.0001,32,200,8,5,1,3.129165285721586,2.217549541639365
rnn,2,32,0.2,0.1,tanh,0.0001,True,adam,0.0001,32,200,8,5,2,16.30204519033368,13.615715272463284
rnn,2,32,0.2,0.1,tanh,0.0001,True,adam,0.0001,32,200,8,5,3,16.887712522084232,15.330127272855318
rnn,2,32,0.2,0.1,tanh,0.0001,True,adam,0.0001,32,200,8,5,4,2.728560177097424,1.90040369256838
rnn,2,32,0.2,0.1,tanh,0.0001,True,adam,0.0001,32,200,8,5,5,6.565951538518256,5.324092308095786
lstm,1,64,0.2,0.1,tanh,0.0001,False,rmsprop,0.0001,16,50,8,20,1,16.755639790800274,16.746464775672326
lstm,1,64,0.2,0.1,tanh,0.0001,False,rmsprop,0.0001,16,50,8,20,2,11.945847077531472,11.839902080594577
